id wpss week order weekc chng
27    6    6     0   2.5 -0.5
28    3    1     0  -2.5 -0.5
28    3    2     0  -1.5  0.0
28    3    3     0  -0.5  0.5
28    3    4     0   0.5  0.5
28    3    5     0   1.5  0.0
28    3    6     0   2.5 -0.5
29    4    1     0  -2.5 -0.5
29    4    2     0  -1.5  0.0
29    4    3     0  -0.5  0.5
29    4    4     0   0.5  0.5
29    4    5     0   1.5  0.0
29    4    6     0   2.5 -0.5
30    6    1     0  -2.5 -0.5
30    6    2     0  -1.5  0.0
30    6    3     0  -0.5  0.5
30    6    4     0   0.5  0.5
30    6    5     0   1.5  0.0
30    6    6     0   2.5 -0.5
31    3    1     0  -2.5 -0.5
31    3    2     0  -1.5  0.0
31    3    3     0  -0.5  0.5
31    3    4     0   0.5  0.5
31    3    5     0   1.5  0.0
31    3    6     0   2.5 -0.5
32    5    1     0  -2.5 -0.5
32    5    2     0  -1.5  0.0
32    5    3     0  -0.5  0.5
32    5    4     0   0.5  0.5
32    5    5     0   1.5  0.0
32    5    6     0   2.5 -0.5
33    4    1     0  -2.5 -0.5
33    4    2     0  -1.5  0.0
33    4    3     0  -0.5  0.5
33    4    4     0   0.5  0.5
33    4    5     0   1.5  0.0
33    4    6     0   2.5 -0.5
34    3    1     0  -2.5 -0.5
34    3    2     0  -1.5  0.0
34    3    3     0  -0.5  0.5
34    3    4     0   0.5  0.5
34    3    5     0   1.5  0.0
34    2    6     0   2.5 -0.5
35    5    1     0  -2.5 -0.5
35    4    2     0  -1.5  0.0
35    4    3     0  -0.5  0.5
35    3    4     0   0.5  0.5
35    1    5     0   1.5  0.0
35    1    6     0   2.5 -0.5
36    4    1     0  -2.5 -0.5
36    3    2     0  -1.5  0.0
36    1    3     0  -0.5  0.5
36    1    4     0   0.5  0.5
36    1    5     0   1.5  0.0
36    1    6     0   2.5 -0.5
37    2    1     0  -2.5 -0.5
37    2    2     0  -1.5  0.0
37    2    3     0  -0.5  0.5
37    2    4     0   0.5  0.5
37    2    5     0   1.5  0.0
37    2    6     0   2.5 -0.5
38    4    1     0  -2.5 -0.5
38    4    2     0  -1.5  0.0
38    3    3     0  -0.5  0.5
38    3    4     0   0.5  0.5
38    3    5     0   1.5  0.0
38    3    6     0   2.5 -0.5
39    3    1     0  -2.5 -0.5
39    3    2     0  -1.5  0.0
39    3    3     0  -0.5  0.5
39    2    4     0   0.5  0.5
39    2    5     0   1.5  0.0
39    2    6     0   2.5 -0.5
40    5    1     0  -2.5 -0.5
40    4    2     0  -1.5  0.0
40    1    3     0  -0.5  0.5
40    1    4     0   0.5  0.5
40    1    5     0   1.5  0.0
40    1    6     0   2.5 -0.5
41    5    1     0  -2.5 -0.5
41    5    2     0  -1.5  0.0
41    5    3     0  -0.5  0.5
41    4    4     0   0.5  0.5
41    4    5     0   1.5  0.0
41    4    6     0   2.5 -0.5
42    4    1     0  -2.5 -0.5
42    3    2     0  -1.5  0.0
42    3    3     0  -0.5  0.5
42    3    4     0   0.5  0.5
42    3    5     0   1.5  0.0
42    3    6     0   2.5 -0.5
43    4    1     0  -2.5 -0.5
43    3    2     0  -1.5  0.0
43    3    3     0  -0.5  0.5
43    2    4     0   0.5  0.5
43    2    5     0   1.5  0.0
43    2    6     0   2.5 -0.5
44    5    1     0  -2.5 -0.5
44    5    2     0  -1.5  0.0
44    4    3     0  -0.5  0.5
44    4    4     0   0.5  0.5
44    4    5     0   1.5  0.0
44    3    6     0   2.5 -0.5
45    3    1     0  -2.5 -0.5
45    2    2     0  -1.5  0.0
45    2    3     0  -0.5  0.5
45    1    4     0   0.5  0.5
45    1    5     0   1.5  0.0
45    1    6     0   2.5 -0.5
46    3    1     0  -2.5 -0.5
46    3    2     0  -1.5  0.0
46    1    3     0  -0.5  0.5
46    1    4     0   0.5  0.5
46    1    5     0   1.5  0.0
46    1    6     0   2.5 -0.5
47    6    1     1  -2.5 -0.5
47    6    2     1  -1.5  0.0
47    6    3     1  -0.5  0.5
47    6    4     1   0.5  0.5
47    6    5     1   1.5  0.0
47    6    6     1   2.5 -0.5
48    6    1     1  -2.5 -0.5
48    6    2     1  -1.5  0.0
48    6    3     1  -0.5  0.5
48    6    4     1   0.5  0.5
48    6    5     1   1.5  0.0
48    6    6     1   2.5 -0.5
49    5    1     1  -2.5 -0.5
49    5    2     1  -1.5  0.0
49    5    3     1  -0.5  0.5
49    5    4     1   0.5  0.5
49    4    5     1   1.5  0.0
49    3    6     1   2.5 -0.5
50    6    1     1  -2.5 -0.5
50    6    2     1  -1.5  0.0
50    6    3     1  -0.5  0.5
50    6    4     1   0.5  0.5
50    6    5     1   1.5  0.0
50    6    6     1   2.5 -0.5
51    5    1     1  -2.5 -0.5
51    5    2     1  -1.5  0.0
51    5    3     1  -0.5  0.5
51    5    4     1   0.5  0.5
51    5    5     1   1.5  0.0
51    5    6     1   2.5 -0.5
52    3    1     1  -2.5 -0.5
52    2    2     1  -1.5  0.0
52    2    3     1  -0.5  0.5
52    2    4     1   0.5  0.5
52    1    5     1   1.5  0.0
52    1    6     1   2.5 -0.5
53    5    1     1  -2.5 -0.5
53    4    2     1  -1.5  0.0
53    4    3     1  -0.5  0.5
53    4    4     1   0.5  0.5
53    4    5     1   1.5  0.0
53    4    6     1   2.5 -0.5
54    5    1     1  -2.5 -0.5
54    5    2     1  -1.5  0.0
54    5    3     1  -0.5  0.5
54    5    4     1   0.5  0.5
54    5    5     1   1.5  0.0
54    5    6     1   2.5 -0.5
55    5    1     1  -2.5 -0.5
55    3    2     1  -1.5  0.0
55    3    3     1  -0.5  0.5
55    3    4     1   0.5  0.5
55    3    5     1   1.5  0.0
55    2    6     1   2.5 -0.5
56    3    1     1  -2.5 -0.5
56    3    2     1  -1.5  0.0
56    2    3     1  -0.5  0.5
56    2    4     1   0.5  0.5
56    3    5     1   1.5  0.0
56    3    6     1   2.5 -0.5
57    3    1     1  -2.5 -0.5
57    3    2     1  -1.5  0.0
57    3    3     1  -0.5  0.5
57    3    4     1   0.5  0.5
57    4    5     1   1.5  0.0
57    4    6     1   2.5 -0.5
58    5    1     1  -2.5 -0.5
58    5    2     1  -1.5  0.0
58    5    3     1  -0.5  0.5
58    5    4     1   0.5  0.5
58    5    5     1   1.5  0.0
58    5    6     1   2.5 -0.5
59    5    1     1  -2.5 -0.5
59    5    2     1  -1.5  0.0
59    4    3     1  -0.5  0.5
59    4    4     1   0.5  0.5
59    4    5     1   1.5  0.0
59    4    6     1   2.5 -0.5
60    5    1     1  -2.5 -0.5
60    5    2     1  -1.5  0.0
60    5    3     1  -0.5  0.5
60    5    4     1   0.5  0.5
60    5    5     1   1.5  0.0
60    4    6     1   2.5 -0.5
61    5    1     1  -2.5 -0.5
61    5    2     1  -1.5  0.0
61    5    3     1  -0.5  0.5
61    5    4     1   0.5  0.5
61    4    5     1   1.5  0.0
61    3    6     1   2.5 -0.5
62    3    1     1  -2.5 -0.5
62    3    2     1  -1.5  0.0
62    4    3     1  -0.5  0.5
62    4    4     1   0.5  0.5
62    3    5     1   1.5  0.0
62    3    6     1   2.5 -0.5
63    4    1     1  -2.5 -0.5
63    5    2     1  -1.5  0.0
63    5    3     1  -0.5  0.5
63    5    4     1   0.5  0.5
63    5    5     1   1.5  0.0
63    4    6     1   2.5 -0.5
64    3    1     1  -2.5 -0.5
64    3    2     1  -1.5  0.0
64    3    3     1  -0.5  0.5
64    3    4     1   0.5  0.5
64    3    5     1   1.5  0.0
64    3    6     1   2.5 -0.5
65    4    1     1  -2.5 -0.5
65    4    2     1  -1.5  0.0
65    4    3     1  -0.5  0.5
65    5    4     1   0.5  0.5
65    5    5     1   1.5  0.0
65    5    6     1   2.5 -0.5
66    5    1     1  -2.5 -0.5
66    5    2     1  -1.5  0.0
66    5    3     1  -0.5  0.5
66    5    4     1   0.5  0.5
66    5    5     1   1.5  0.0
66    5    6     1   2.5 -0.5
67    6    1     1  -2.5 -0.5
67    6    2     1  -1.5  0.0
67    6    3     1  -0.5  0.5
67    6    4     1   0.5  0.5
67    4    5     1   1.5  0.0
67    4    6     1   2.5 -0.5
68    6    1     1  -2.5 -0.5
68    6    2     1  -1.5  0.0
68    6    3     1  -0.5  0.5
68    6    4     1   0.5  0.5
68    6    5     1   1.5  0.0
68    6    6     1   2.5 -0.5
69    5    1     1  -2.5 -0.5
69    5    2     1  -1.5  0.0
69    5    3     1  -0.5  0.5
69    5    4     1   0.5  0.5
69    5    5     1   1.5  0.0
69    5    6     1   2.5 -0.5
70    5    1     1  -2.5 -0.5
70    5    2     1  -1.5  0.0
70    4    3     1  -0.5  0.5
70    3    4     1   0.5  0.5
70    2    5     1   1.5  0.0
70    2    6     1   2.5 -0.5
71    4    1     1  -2.5 -0.5
71    4    2     1  -1.5  0.0
71    5    3     1  -0.5  0.5
71    5    4     1   0.5  0.5
71    5    5     1   1.5  0.0
71    4    6     1   2.5 -0.5
72    5    1     1  -2.5 -0.5
72    5    2     1  -1.5  0.0
72    5    3     1  -0.5  0.5
72    3    4     1   0.5  0.5
72    2    5     1   1.5  0.0
72    2    6     1   2.5 -0.5
73    5    1     1  -2.5 -0.5
73    4    2     1  -1.5  0.0
73    3    3     1  -0.5  0.5
73    3    4     1   0.5  0.5
73    2    5     1   1.5  0.0
73    2    6     1   2.5 -0.5
74    5    1     1  -2.5 -0.5
74    6    2     1  -1.5  0.0
74    6    3     1  -0.5  0.5
74    5    4     1   0.5  0.5
74    5    5     1   1.5  0.0
74    3    6     1   2.5 -0.5
75    5    1     1  -2.5 -0.5
75    5    2     1  -1.5  0.0
75    5    3     1  -0.5  0.5
75    5    4     1   0.5  0.5
75    5    5     1   1.5  0.0
75    4    6     1   2.5 -0.5
